"Estimated.HIV.Prevalence.....Ages.15.49.","year","Percentage 15-45"
"5527","Equatorial Guinea","X2000",1.5
"5528","Eritrea","X2000",1.2
"5530","Estonia","X2000",0.5
"5534","Fiji","X2000",0.06
"5535","Finland","X2000",0.1
"5536","France","X2000",0.3
"5539","Gabon","X2000",5.2
"5540","Gambia","X2000",0.5
"5541","Georgia","X2000",0.06
"5542","Germany","X2000",0.1
"5543","Ghana","X2000",2.3
"5545","Greece","X2000",0.1
"5550","Guatemala","X2000",0.5
"5552","Guinea","X2000",1.7
"5553","Guinea-Bissau","X2000",1.8
"5554","Guyana","X2000",1.5
"5555","Haiti","X2000",2.8
"5557","Honduras","X2000",1.3
"5559","Hungary","X2000",0.06
"5560","Iceland","X2000",0.2
"5561","India","X2000",0.4
"5562","Indonesia","X2000",0.06
"5563","Iran","X2000",0.1
"5565","Ireland","X2000",0.2
"5567","Israel","X2000",0.1
"5568","Italy","X2000",0.3
"5569","Jamaica","X2000",1.9
"5570","Japan","X2000",0.06
"5573","Kazakhstan","X2000",0.06
"5574","Kenya","X2000",9
"5577","South Korea","X2000",0.06
"5581","Kyrgyz Republic","X2000",0.06
"5582","Lao","X2000",0.06
"5583","Latvia","X2000",0.3
"5584","Lebanon","X2000",0.2
"5585","Lesotho","X2000",24.5
"5586","Liberia","X2000",3.3
"5589","Lithuania","X2000",0.06
"5590","Luxembourg","X2000",0.2
"5593","Madagascar","X2000",0.2
"5594","Malawi","X2000",14.2
"5595","Malaysia","X2000",0.4
"5596","Maldives","X2000",0.06
"5597","Mali","X2000",1.7
"5598","Malta","X2000",0.1
"5601","Mauritania","X2000",0.6
"5602","Mauritius","X2000",0.3
"5604","Mexico","X2000",0.3
"5606","Moldova","X2000",0.4
"5608","Mongolia","X2000",0.06
"5611","Morocco","X2000",0.1
"5612","Mozambique","X2000",8.6
"5613","Myanmar","X2000",0.8
"5614","Namibia","X2000",15.3
"5616","Nepal","X2000",0.5
"5617","Netherlands","X2000",0.2
"5620","New Zealand","X2000",0.1
"5622","Nicaragua","X2000",0.1
"5623","Niger","X2000",1
"5624","Nigeria","X2000",3.9
"5629","Norway","X2000",0.1
"5630","Oman","X2000",0.06
"5631","Pakistan","X2000",0.06
"5633","Panama","X2000",1.4
"5634","Papua New Guinea","X2000",0.4
"5635","Paraguay","X2000",0.3
"5636","Peru","X2000",0.5
"5637","Philippines","X2000",0.06
"5639","Poland","X2000",0.1
"5640","Portugal","X2000",0.4
"5642","Qatar","X2000",0.06
"5644","Romania","X2000",0.1
"5645","Russia","X2000",0.3
"5646","Rwanda","X2000",3.8
"5658","Senegal","X2000",0.6
"5659","Serbia","X2000",0.06
"5663","Sierra Leone","X2000",0.9
"5664","Singapore","X2000",0.1
"5665","Slovak Republic","X2000",0.06
"5666","Slovenia","X2000",0.06
"5668","Somalia","X2000",0.2
"5670","South Africa","X2000",16.1
"5672","Spain","X2000",0.4
"5673","Sri Lanka","X2000",0.06
"5674","Sudan","X2000",0.3
"5675","Suriname","X2000",1
"5677","Swaziland","X2000",22.3
"5678","Sweden","X2000",0.1
"5679","Switzerland","X2000",0.3
"5682","Tajikistan","X2000",0.1
"5683","Tanzania","X2000",7.3
"5684","Thailand","X2000",1.8
"5686","Togo","X2000",3.6
"5690","Trinidad and Tobago","X2000",1.2
"5691","Tunisia","X2000",0.06
"5692","Turkey","X2000",0.06
"5696","Uganda","X2000",7.3
"5697","Ukraine","X2000",0.9
"5699","United Kingdom","X2000",0.1
"5700","United States","X2000",0.5
"5701","Uruguay","X2000",0.3
"5703","Uzbekistan","X2000",0.06
"5710","Vietnam","X2000",0.2
"5716","Zambia","X2000",14.4
"5717","Zimbabwe","X2000",24.8
"5720","Cote dIvoire","X2000",6.9
"5725","Algeria","X2001",0.06
"5728","Angola","X2001",1.9
"5731","Argentina","X2001",0.4
"5732","Armenia","X2001",0.1
"5734","Australia","X2001",0.1
"5735","Austria","X2001",0.1
"5736","Azerbaijan","X2001",0.06
"5737","Bahamas","X2001",3.1
"5739","Bangladesh","X2001",0.06
"5740","Barbados","X2001",0.5
"5741","Belarus","X2001",0.1
"5742","Belgium","X2001",0.2
"5743","Belize","X2001",2.2
"5744","Benin","X2001",1.4
"5746","Bhutan","X2001",0.06
"5747","Bolivia","X2001",0.2
"5749","Botswana","X2001",26.3
"5750","Brazil","X2001",0.4
"5753","Bulgaria","X2001",0.06
"5754","Burkina Faso","X2001",2.1
"5755","Burundi","X2001",5
"5756","Cambodia","X2001",1.2
"5757","Cameroon","X2001",5.5
"5758","Canada","X2001",0.2
"5761","Central African Republic","X2001",8.9
"5762","Chad","X2001",3.2
"5764","Chile","X2001",0.3
"5768","Colombia","X2001",0.8
"5769","Comoros","X2001",0.06
"5771","Congo, Rep.","X2001",3.8
"5773","Costa Rica","X2001",0.2
"5774","Croatia","X2001",0.06
"5775","Cuba","X2001",0.06
"5777","Czech Republic","X2001",0.06
"5779","Denmark","X2001",0.1
"5780","Djibouti","X2001",2.9
"5782","Dominican Republic","X2001",0.9
"5784","Ecuador","X2001",0.5
"5785","Egypt","X2001",0.06
"5786","El Salvador","X2001",0.8
"5787","Equatorial Guinea","X2001",1.9
"5788","Eritrea","X2001",1.2
"5790","Estonia","X2001",0.6
"5794","Fiji","X2001",0.06
"5795","Finland","X2001",0.1
"5796","France","X2001",0.3
"5799","Gabon","X2001",5.3
"5800","Gambia","X2001",0.6
"5801","Georgia","X2001",0.06
"5802","Germany","X2001",0.1
"5803","Ghana","X2001",2.3
"5805","Greece","X2001",0.1
"5810","Guatemala","X2001",0.5
"5812","Guinea","X2001",1.7
"5813","Guinea-Bissau","X2001",2
"5814","Guyana","X2001",1.4
"5815","Haiti","X2001",2.6
"5817","Honduras","X2001",1.2
"5819","Hungary","X2001",0.06
"5820","Iceland","X2001",0.2
"5821","India","X2001",0.4
"5822","Indonesia","X2001",0.06
"5823","Iran","X2001",0.1
"5825","Ireland","X2001",0.2
"5827","Israel","X2001",0.1
"5828","Italy","X2001",0.3
"5829","Jamaica","X2001",1.9
"5830","Japan","X2001",0.06
"5833","Kazakhstan","X2001",0.06
"5834","Kenya","X2001",8.4
"5837","South Korea","X2001",0.06
"5841","Kyrgyz Republic","X2001",0.06
"5842","Lao","X2001",0.06
"5843","Latvia","X2001",0.4
"5844","Lebanon","X2001",0.2
"5845","Lesotho","X2001",24.5
"5846","Liberia","X2001",3.1
"5849","Lithuania","X2001",0.06
"5850","Luxembourg","X2001",0.3
"5853","Madagascar","X2001",0.2
"5854","Malawi","X2001",13.8
"5855","Malaysia","X2001",0.4
"5856","Maldives","X2001",0.06
"5857","Mali","X2001",1.6
"5858","Malta","X2001",0.1
"5861","Mauritania","X2001",0.6
"5862","Mauritius","X2001",0.4
"5864","Mexico","X2001",0.3
"5866","Moldova","X2001",0.4
"5868","Mongolia","X2001",0.06
"5871","Morocco","X2001",0.1
"5872","Mozambique","X2001",9.4
"5873","Myanmar","X2001",0.8
"5874","Namibia","X2001",16.1
"5876","Nepal","X2001",0.5
"5877","Netherlands","X2001",0.2
"5880","New Zealand","X2001",0.1
"5882","Nicaragua","X2001",0.1
"5883","Niger","X2001",1
"5884","Nigeria","X2001",3.8
"5889","Norway","X2001",0.1
"5890","Oman","X2001",0.06
"5891","Pakistan","X2001",0.1
"5893","Panama","X2001",1.4
"5894","Papua New Guinea","X2001",0.5
"5895","Paraguay","X2001",0.3
"5896","Peru","X2001",0.5
"5897","Philippines","X2001",0.06
"5899","Poland","X2001",0.1
"5900","Portugal","X2001",0.5
"5902","Qatar","X2001",0.06
"5904","Romania","X2001",0.1
"5905","Russia","X2001",0.5
"5906","Rwanda","X2001",3.7
"5918","Senegal","X2001",0.6
"5919","Serbia","X2001",0.06
"5923","Sierra Leone","X2001",1.1
"5924","Singapore","X2001",0.1
"5925","Slovak Republic","X2001",0.06
"5926","Slovenia","X2001",0.06
"5928","Somalia","X2001",0.3
"5930","South Africa","X2001",17.1
"5932","Spain","X2001",0.4
"5933","Sri Lanka","X2001",0.06
"5934","Sudan","X2001",0.4
"5935","Suriname","X2001",1
"5937","Swaziland","X2001",23.6
"5938","Sweden","X2001",0.1
"5939","Switzerland","X2001",0.3
"5942","Tajikistan","X2001",0.1
"5943","Tanzania","X2001",7.1
"5944","Thailand","X2001",1.7
"5946","Togo","X2001",3.6
"5950","Trinidad and Tobago","X2001",1.2
"5951","Tunisia","X2001",0.06
"5952","Turkey","X2001",0.06
"5956","Uganda","X2001",7
"5957","Ukraine","X2001",0.9
"5959","United Kingdom","X2001",0.1
"5960","United States","X2001",0.5
"5961","Uruguay","X2001",0.4
"5963","Uzbekistan","X2001",0.06
"5970","Vietnam","X2001",0.3
"5976","Zambia","X2001",14.3
"5977","Zimbabwe","X2001",23.7
"5980","Cote dIvoire","X2001",6.5
"5985","Algeria","X2002",0.06
"5988","Angola","X2002",1.9
"5991","Argentina","X2002",0.4
"5992","Armenia","X2002",0.1
"5994","Australia","X2002",0.1
"5995","Austria","X2002",0.1
"5996","Azerbaijan","X2002",0.06
"5997","Bahamas","X2002",3
"5999","Bangladesh","X2002",0.06
"6000","Barbados","X2002",0.6
"6001","Belarus","X2002",0.1
"6002","Belgium","X2002",0.2
"6003","Belize","X2002",2.3
"6004","Benin","X2002",1.4
"6006","Bhutan","X2002",0.06
"6007","Bolivia","X2002",0.2
"6009","Botswana","X2002",26.3
"6010","Brazil","X2002",0.4
"6013","Bulgaria","X2002",0.06
"6014","Burkina Faso","X2002",1.9
"6015","Burundi","X2002",4.7
"6016","Cambodia","X2002",1.1
"6017","Cameroon","X2002",5.5
"6018","Canada","X2002",0.2
"6021","Central African Republic","X2002",8.4
"6022","Chad","X2002",3.3
"6024","Chile","X2002",0.3
"6028","Colombia","X2002",0.8
"6029","Comoros","X2002",0.06
"6031","Congo, Rep.","X2002",3.8
"6033","Costa Rica","X2002",0.2
"6034","Croatia","X2002",0.06
"6035","Cuba","X2002",0.06
"6037","Czech Republic","X2002",0.06
"6039","Denmark","X2002",0.1
"6040","Djibouti","X2002",2.9
"6042","Dominican Republic","X2002",0.9
"6044","Ecuador","X2002",0.5
"6045","Egypt","X2002",0.06
"6046","El Salvador","X2002",0.8
"6047","Equatorial Guinea","X2002",2.3
"6048","Eritrea","X2002",1.1
"6050","Estonia","X2002",0.7
"6054","Fiji","X2002",0.06
"6055","Finland","X2002",0.1
"6056","France","X2002",0.3
"6059","Gabon","X2002",5.4
"6060","Gambia","X2002",0.7
"6061","Georgia","X2002",0.06
"6062","Germany","X2002",0.1
"6063","Ghana","X2002",2.2
"6065","Greece","X2002",0.1
"6070","Guatemala","X2002",0.5
"6072","Guinea","X2002",1.6
"6073","Guinea-Bissau","X2002",2.1
"6074","Guyana","X2002",1.3
"6075","Haiti","X2002",2.5
"6077","Honduras","X2002",1.1
"6079","Hungary","X2002",0.06
"6080","Iceland","X2002",0.2
"6081","India","X2002",0.4
"6082","Indonesia","X2002",0.06
"6083","Iran","X2002",0.1
"6085","Ireland","X2002",0.2
"6087","Israel","X2002",0.1
"6088","Italy","X2002",0.3
"6089","Jamaica","X2002",1.9
"6090","Japan","X2002",0.06
"6093","Kazakhstan","X2002",0.06
"6094","Kenya","X2002",7.9
"6097","South Korea","X2002",0.06
"6101","Kyrgyz Republic","X2002",0.06
"6102","Lao","X2002",0.06
"6103","Latvia","X2002",0.4
"6104","Lebanon","X2002",0.2
"6105","Lesotho","X2002",24.3
"6106","Liberia","X2002",2.8
"6109","Lithuania","X2002",0.06
"6110","Luxembourg","X2002",0.3
"6113","Madagascar","X2002",0.2
"6114","Malawi","X2002",13.4
"6115","Malaysia","X2002",0.4
"6116","Maldives","X2002",0.06
"6117","Mali","X2002",1.5
"6118","Malta","X2002",0.1
"6121","Mauritania","X2002",0.6
"6122","Mauritius","X2002",0.4
"6124","Mexico","X2002",0.3
"6126","Moldova","X2002",0.4
"6128","Mongolia","X2002",0.06
"6131","Morocco","X2002",0.1
"6132","Mozambique","X2002",10.1
"6133","Myanmar","X2002",0.7
"6134","Namibia","X2002",16.5
"6136","Nepal","X2002",0.5
"6137","Netherlands","X2002",0.2
"6140","New Zealand","X2002",0.1
"6142","Nicaragua","X2002",0.1
"6143","Niger","X2002",1
"6144","Nigeria","X2002",3.8
"6149","Norway","X2002",0.1
"6150","Oman","X2002",0.06
"6151","Pakistan","X2002",0.1
"6153","Panama","X2002",1.3
"6154","Papua New Guinea","X2002",0.6
"6155","Paraguay","X2002",0.3
"6156","Peru","X2002",0.5
"6157","Philippines","X2002",0.06
"6159","Poland","X2002",0.1
"6160","Portugal","X2002",0.5
"6162","Qatar","X2002",0.06
"6164","Romania","X2002",0.1
"6165","Russia","X2002",0.6
"6166","Rwanda","X2002",3.6
"6178","Senegal","X2002",0.7
"6179","Serbia","X2002",0.1
"6183","Sierra Leone","X2002",1.2
"6184","Singapore","X2002",0.1
"6185","Slovak Republic","X2002",0.06
"6186","Slovenia","X2002",0.06
"6188","Somalia","X2002",0.3
"6190","South Africa","X2002",17.7
"6192","Spain","X2002",0.4
"6193","Sri Lanka","X2002",0.06
"6194","Sudan","X2002",0.4
"6195","Suriname","X2002",1
"6197","Swaziland","X2002",24.5
"6198","Sweden","X2002",0.1
"6199","Switzerland","X2002",0.3
"6202","Tajikistan","X2002",0.1
"6203","Tanzania","X2002",6.8
"6204","Thailand","X2002",1.6
"6206","Togo","X2002",3.6
"6210","Trinidad and Tobago","X2002",1.2
"6211","Tunisia","X2002",0.06
"6212","Turkey","X2002",0.06
"6216","Uganda","X2002",6.8
"6217","Ukraine","X2002",1
"6219","United Kingdom","X2002",0.2
"6220","United States","X2002",0.5
"6221","Uruguay","X2002",0.4
"6223","Uzbekistan","X2002",0.06
"6230","Vietnam","X2002",0.3
"6236","Zambia","X2002",14.2
"6237","Zimbabwe","X2002",22.5
"6240","Cote dIvoire","X2002",6.1
"6245","Algeria","X2003",0.06
"6248","Angola","X2003",1.9
"6251","Argentina","X2003",0.4
"6252","Armenia","X2003",0.1
"6254","Australia","X2003",0.1
"6255","Austria","X2003",0.2
"6256","Azerbaijan","X2003",0.06
"6257","Bahamas","X2003",3
"6259","Bangladesh","X2003",0.06
"6260","Barbados","X2003",0.7
"6261","Belarus","X2003",0.1
"6262","Belgium","X2003",0.2
"6263","Belize","X2003",2.4
"6264","Benin","X2003",1.3
"6266","Bhutan","X2003",0.1
"6267","Bolivia","X2003",0.2
"6269","Botswana","X2003",26.1
"6270","Brazil","X2003",0.4
"6273","Bulgaria","X2003",0.06
"6274","Burkina Faso","X2003",1.7
"6275","Burundi","X2003",4.5
"6276","Cambodia","X2003",0.9
"6277","Cameroon","X2003",5.5
"6278","Canada","X2003",0.2
"6281","Central African Republic","X2003",7.8
"6282","Chad","X2003",3.4
"6284","Chile","X2003",0.3
"6288","Colombia","X2003",0.8
"6289","Comoros","X2003",0.06
"6291","Congo, Rep.","X2003",3.7
"6293","Costa Rica","X2003",0.2
"6294","Croatia","X2003",0.06
"6295","Cuba","X2003",0.06
"6297","Czech Republic","X2003",0.06
"6299","Denmark","X2003",0.1
"6300","Djibouti","X2003",2.8
"6302","Dominican Republic","X2003",0.9
"6304","Ecuador","X2003",0.5
"6305","Egypt","X2003",0.06
"6306","El Salvador","X2003",0.8
"6307","Equatorial Guinea","X2003",2.7
"6308","Eritrea","X2003",1.1
"6310","Estonia","X2003",0.9
"6314","Fiji","X2003",0.1
"6315","Finland","X2003",0.1
"6316","France","X2003",0.4
"6319","Gabon","X2003",5.4
"6320","Gambia","X2003",0.8
"6321","Georgia","X2003",0.1
"6322","Germany","X2003",0.1
"6323","Ghana","X2003",2.1
"6325","Greece","X2003",0.1
"6330","Guatemala","X2003",0.6
"6332","Guinea","X2003",1.6
"6333","Guinea-Bissau","X2003",2.3
"6334","Guyana","X2003",1.3
"6335","Haiti","X2003",2.3
"6337","Honduras","X2003",1.1
"6339","Hungary","X2003",0.06
"6340","Iceland","X2003",0.2
"6341","India","X2003",0.4
"6342","Indonesia","X2003",0.06
"6343","Iran","X2003",0.2
"6345","Ireland","X2003",0.2
"6347","Israel","X2003",0.2
"6348","Italy","X2003",0.3
"6349","Jamaica","X2003",1.8
"6350","Japan","X2003",0.06
"6353","Kazakhstan","X2003",0.1
"6354","Kenya","X2003",7.5
"6357","South Korea","X2003",0.06
"6361","Kyrgyz Republic","X2003",0.06
"6362","Lao","X2003",0.1
"6363","Latvia","X2003",0.5
"6364","Lebanon","X2003",0.2
"6365","Lesotho","X2003",24.1
"6366","Liberia","X2003",2.6
"6369","Lithuania","X2003",0.06
"6370","Luxembourg","X2003",0.3
"6373","Madagascar","X2003",0.2
"6374","Malawi","X2003",13
"6375","Malaysia","X2003",0.4
"6376","Maldives","X2003",0.06
"6377","Mali","X2003",1.4
"6378","Malta","X2003",0.1
"6381","Mauritania","X2003",0.7
"6382","Mauritius","X2003",0.5
"6384","Mexico","X2003",0.3
"6386","Moldova","X2003",0.4
"6388","Mongolia","X2003",0.06
"6391","Morocco","X2003",0.1
"6392","Mozambique","X2003",10.6
"6393","Myanmar","X2003",0.7
"6394","Namibia","X2003",16.5
"6396","Nepal","X2003",0.5
"6397","Netherlands","X2003",0.2
"6400","New Zealand","X2003",0.1
"6402","Nicaragua","X2003",0.1
"6403","Niger","X2003",1
"6404","Nigeria","X2003",3.7
"6409","Norway","X2003",0.1
"6410","Oman","X2003",0.06
"6411","Pakistan","X2003",0.1
"6413","Panama","X2003",1.2
"6414","Papua New Guinea","X2003",0.7
"6415","Paraguay","X2003",0.3
"6416","Peru","X2003",0.5
"6417","Philippines","X2003",0.06
"6419","Poland","X2003",0.1
"6420","Portugal","X2003",0.5
"6422","Qatar","X2003",0.06
"6424","Romania","X2003",0.1
"6425","Russia","X2003",0.8
"6426","Rwanda","X2003",3.4
"6438","Senegal","X2003",0.7
"6439","Serbia","X2003",0.1
"6443","Sierra Leone","X2003",1.3
"6444","Singapore","X2003",0.1
"6445","Slovak Republic","X2003",0.06
"6446","Slovenia","X2003",0.06
"6448","Somalia","X2003",0.3
"6450","South Africa","X2003",18
"6452","Spain","X2003",0.4
"6453","Sri Lanka","X2003",0.06
"6454","Sudan","X2003",0.5
"6455","Suriname","X2003",1
"6457","Swaziland","X2003",25.1
"6458","Sweden","X2003",0.1
"6459","Switzerland","X2003",0.3
"6462","Tajikistan","X2003",0.1
"6463","Tanzania","X2003",6.6
"6464","Thailand","X2003",1.5
"6466","Togo","X2003",3.5
"6470","Trinidad and Tobago","X2003",1.3
"6471","Tunisia","X2003",0.06
"6472","Turkey","X2003",0.06
"6476","Uganda","X2003",6.6
"6477","Ukraine","X2003",1.1
"6479","United Kingdom","X2003",0.2
"6480","United States","X2003",0.5
"6481","Uruguay","X2003",0.5
"6483","Uzbekistan","X2003",0.06
"6490","Vietnam","X2003",0.3
"6496","Zambia","X2003",14.1
"6497","Zimbabwe","X2003",21.1
"6500","Cote dIvoire","X2003",5.7
"6505","Algeria","X2004",0.1
"6508","Angola","X2004",1.9
"6511","Argentina","X2004",0.4
"6512","Armenia","X2004",0.1
"6514","Australia","X2004",0.1
"6515","Austria","X2004",0.2
"6516","Azerbaijan","X2004",0.06
"6517","Bahamas","X2004",3
"6519","Bangladesh","X2004",0.06
"6520","Barbados","X2004",0.8
"6521","Belarus","X2004",0.2
"6522","Belgium","X2004",0.2
"6523","Belize","X2004",2.4
"6524","Benin","X2004",1.3
"6526","Bhutan","X2004",0.1
"6527","Bolivia","X2004",0.2
"6529","Botswana","X2004",25.8
"6530","Brazil","X2004",0.4
"6533","Bulgaria","X2004",0.1
"6534","Burkina Faso","X2004",1.6
"6535","Burundi","X2004",4.2
"6536","Cambodia","X2004",0.8
"6537","Cameroon","X2004",5.4
"6538","Canada","X2004",0.2
"6541","Central African Republic","X2004",7.2
"6542","Chad","X2004",3.4
"6544","Chile","X2004",0.3
"6548","Colombia","X2004",0.7
"6549","Comoros","X2004",0.06
"6551","Congo, Rep.","X2004",3.7
"6553","Costa Rica","X2004",0.3
"6554","Croatia","X2004",0.06
"6555","Cuba","X2004",0.1
"6557","Czech Republic","X2004",0.06
"6559","Denmark","X2004",0.1
"6560","Djibouti","X2004",2.7
"6562","Dominican Republic","X2004",0.9
"6564","Ecuador","X2004",0.4
"6565","Egypt","X2004",0.06
"6566","El Salvador","X2004",0.8
"6567","Equatorial Guinea","X2004",3.2
"6568","Eritrea","X2004",1
"6570","Estonia","X2004",1
"6574","Fiji","X2004",0.1
"6575","Finland","X2004",0.1
"6576","France","X2004",0.4
"6579","Gabon","X2004",5.4
"6580","Gambia","X2004",1
"6581","Georgia","X2004",0.1
"6582","Germany","X2004",0.1
"6583","Ghana","X2004",2.1
"6585","Greece","X2004",0.1
"6590","Guatemala","X2004",0.6
"6592","Guinea","X2004",1.5
"6593","Guinea-Bissau","X2004",2.3
"6594","Guyana","X2004",1.2
"6595","Haiti","X2004",2.2
"6597","Honduras","X2004",1
"6599","Hungary","X2004",0.06
"6600","Iceland","X2004",0.2
"6601","India","X2004",0.39
"6602","Indonesia","X2004",0.1
"6603","Iran","X2004",0.2
"6605","Ireland","X2004",0.2
"6607","Israel","X2004",0.2
"6608","Italy","X2004",0.3
"6609","Jamaica","X2004",1.8
"6610","Japan","X2004",0.06
"6613","Kazakhstan","X2004",0.1
"6614","Kenya","X2004",7.1
"6617","South Korea","X2004",0.06
"6621","Kyrgyz Republic","X2004",0.1
"6622","Lao","X2004",0.1
"6623","Latvia","X2004",0.5
"6624","Lebanon","X2004",0.2
"6625","Lesotho","X2004",23.8
"6626","Liberia","X2004",2.4
"6629","Lithuania","X2004",0.06
"6630","Luxembourg","X2004",0.3
"6633","Madagascar","X2004",0.2
"6634","Malawi","X2004",12.5
"6635","Malaysia","X2004",0.4
"6636","Maldives","X2004",0.06
"6637","Mali","X2004",1.3
"6638","Malta","X2004",0.1
"6641","Mauritania","X2004",0.7
"6642","Mauritius","X2004",0.6
"6644","Mexico","X2004",0.3
"6646","Moldova","X2004",0.4
"6648","Mongolia","X2004",0.06
"6651","Morocco","X2004",0.1
"6652","Mozambique","X2004",11
"6653","Myanmar","X2004",0.7
"6654","Namibia","X2004",16.2
"6656","Nepal","X2004",0.5
"6657","Netherlands","X2004",0.2
"6660","New Zealand","X2004",0.1
"6662","Nicaragua","X2004",0.2
"6663","Niger","X2004",0.9
"6664","Nigeria","X2004",3.7
"6669","Norway","X2004",0.1
"6670","Oman","X2004",0.06
"6671","Pakistan","X2004",0.1
"6673","Panama","X2004",1.1
"6674","Papua New Guinea","X2004",0.7
"6675","Paraguay","X2004",0.3
"6676","Peru","X2004",0.5
"6677","Philippines","X2004",0.06
"6679","Poland","X2004",0.1
"6680","Portugal","X2004",0.5
"6682","Qatar","X2004",0.06
"6684","Romania","X2004",0.1
"6685","Russia","X2004",0.8
"6686","Rwanda","X2004",3.2
"6698","Senegal","X2004",0.7
"6699","Serbia","X2004",0.1
"6703","Sierra Leone","X2004",1.4
"6704","Singapore","X2004",0.1
"6705","Slovak Republic","X2004",0.06
"6706","Slovenia","X2004",0.06
"6708","Somalia","X2004",0.4
"6710","South Africa","X2004",18.1
"6712","Spain","X2004",0.4
"6713","Sri Lanka","X2004",0.06
"6714","Sudan","X2004",0.6
"6715","Suriname","X2004",1
"6717","Swaziland","X2004",25.5
"6718","Sweden","X2004",0.1
"6719","Switzerland","X2004",0.3
"6722","Tajikistan","X2004",0.1
"6723","Tanzania","X2004",6.4
"6724","Thailand","X2004",1.5
"6726","Togo","X2004",3.5
"6730","Trinidad and Tobago","X2004",1.3
"6731","Tunisia","X2004",0.06
"6732","Turkey","X2004",0.06
"6736","Uganda","X2004",6.4
"6737","Ukraine","X2004",1.1
"6739","United Kingdom","X2004",0.2
"6740","United States","X2004",0.5
"6741","Uruguay","X2004",0.5
"6743","Uzbekistan","X2004",0.06
"6750","Vietnam","X2004",0.4
"6756","Zambia","X2004",14
"6757","Zimbabwe","X2004",19.8
"6760","Cote dIvoire","X2004",5.3
"6765","Algeria","X2005",0.1
"6768","Angola","X2005",1.9
"6771","Argentina","X2005",0.4
"6772","Armenia","X2005",0.1
"6774","Australia","X2005",0.1
"6775","Austria","X2005",0.2
"6776","Azerbaijan","X2005",0.06
"6777","Bahamas","X2005",3
"6779","Bangladesh","X2005",0.06
"6780","Barbados","X2005",0.9
"6781","Belarus","X2005",0.2
"6782","Belgium","X2005",0.2
"6783","Belize","X2005",2.4
"6784","Benin","X2005",1.3
"6786","Bhutan","X2005",0.1
"6787","Bolivia","X2005",0.2
"6789","Botswana","X2005",25.5
"6790","Brazil","X2005",0.4
"6793","Bulgaria","X2005",0.1
"6794","Burkina Faso","X2005",1.5
"6795","Burundi","X2005",4
"6796","Cambodia","X2005",0.8
"6797","Cameroon","X2005",5.4
"6798","Canada","X2005",0.2
"6801","Central African Republic","X2005",6.6
"6802","Chad","X2005",3.5
"6804","Chile","X2005",0.3
"6808","Colombia","X2005",0.7
"6809","Comoros","X2005",0.06
"6811","Congo, Rep.","X2005",3.6
"6813","Costa Rica","X2005",0.3
"6814","Croatia","X2005",0.06
"6815","Cuba","X2005",0.1
"6817","Czech Republic","X2005",0.06
"6819","Denmark","X2005",0.1
"6820","Djibouti","X2005",2.7
"6822","Dominican Republic","X2005",0.9
"6824","Ecuador","X2005",0.4
"6825","Egypt","X2005",0.06
"6826","El Salvador","X2005",0.8
"6827","Equatorial Guinea","X2005",3.6
"6828","Eritrea","X2005",1
"6830","Estonia","X2005",1.1
"6834","Fiji","X2005",0.1
"6835","Finland","X2005",0.1
"6836","France","X2005",0.4
"6839","Gabon","X2005",5.4
"6840","Gambia","X2005",1.1
"6841","Georgia","X2005",0.1
"6842","Germany","X2005",0.1
"6843","Ghana","X2005",2
"6845","Greece","X2005",0.1
"6850","Guatemala","X2005",0.7
"6852","Guinea","X2005",1.5
"6853","Guinea-Bissau","X2005",2.4
"6854","Guyana","X2005",1.1
"6855","Haiti","X2005",2.1
"6857","Honduras","X2005",0.9
"6859","Hungary","X2005",0.06
"6860","Iceland","X2005",0.3
"6861","India","X2005",0.37
"6862","Indonesia","X2005",0.1
"6863","Iran","X2005",0.2
"6865","Ireland","X2005",0.2
"6867","Israel","X2005",0.2
"6868","Italy","X2005",0.3
"6869","Jamaica","X2005",1.8
"6870","Japan","X2005",0.06
"6873","Kazakhstan","X2005",0.1
"6874","Kenya","X2005",6.8
"6877","South Korea","X2005",0.06
"6881","Kyrgyz Republic","X2005",0.1
"6882","Lao","X2005",0.1
"6883","Latvia","X2005",0.6
"6884","Lebanon","X2005",0.1
"6885","Lesotho","X2005",23.6
"6886","Liberia","X2005",2.2
"6889","Lithuania","X2005",0.06
"6890","Luxembourg","X2005",0.3
"6893","Madagascar","X2005",0.2
"6894","Malawi","X2005",12.1
"6895","Malaysia","X2005",0.5
"6896","Maldives","X2005",0.06
"6897","Mali","X2005",1.2
"6898","Malta","X2005",0.1
"6901","Mauritania","X2005",0.7
"6902","Mauritius","X2005",0.7
"6904","Mexico","X2005",0.3
"6906","Moldova","X2005",0.4
"6908","Mongolia","X2005",0.06
"6911","Morocco","X2005",0.1
"6912","Mozambique","X2005",11.2
"6913","Myanmar","X2005",0.7
"6914","Namibia","X2005",15.7
"6916","Nepal","X2005",0.4
"6917","Netherlands","X2005",0.2
"6920","New Zealand","X2005",0.1
"6922","Nicaragua","X2005",0.2
"6923","Niger","X2005",0.9
"6924","Nigeria","X2005",3.7
"6929","Norway","X2005",0.1
"6930","Oman","X2005",0.06
"6931","Pakistan","X2005",0.1
"6933","Panama","X2005",1.1
"6934","Papua New Guinea","X2005",0.8
"6935","Paraguay","X2005",0.3
"6936","Peru","X2005",0.4
"6937","Philippines","X2005",0.06
"6939","Poland","X2005",0.1
"6940","Portugal","X2005",0.5
